# NEST version: 3.5
# RecordingBackendASCII version: 2
sender	time_ms	V_m
5392	500.000	-55.789
5393	500.000	-54.451
5394	500.000	-57.081
5395	500.000	-54.305
5396	500.000	-55.183
5397	500.000	-57.094
5398	500.000	-57.295
5399	500.000	-60.794
5400	500.000	-61.065
5401	500.000	-56.795
5402	500.000	-61.094
5403	500.000	-57.711
5404	500.000	-62.620
5405	500.000	-54.672
5406	500.000	-54.907
5407	500.000	-57.287
5408	500.000	-55.540
5409	500.000	-62.417
5410	500.000	-63.216
5411	500.000	-56.579
5412	500.000	-54.949
5413	500.000	-62.916
5414	500.000	-56.785
5415	500.000	-55.046
5416	500.000	-58.442
5417	500.000	-53.798
5418	500.000	-57.881
5419	500.000	-56.669
5420	500.000	-56.769
5421	500.000	-58.760
5422	500.000	-56.513
5423	500.000	-57.733
5424	500.000	-51.886
5425	500.000	-55.234
5426	500.000	-62.755
5427	500.000	-51.505
5428	500.000	-54.134
5429	500.000	-58.837
5430	500.000	-59.364
5431	500.000	-63.112
5432	500.000	-58.145
5433	500.000	-59.258
5434	500.000	-52.905
5435	500.000	-59.031
5436	500.000	-54.979
5437	500.000	-64.246
5438	500.000	-61.977
5439	500.000	-53.735
5440	500.000	-58.160
5441	500.000	-57.431
5442	500.000	-58.034
5443	500.000	-57.411
5444	500.000	-60.415
5445	500.000	-56.090
5446	500.000	-56.287
5447	500.000	-56.261
5448	500.000	-60.651
5449	500.000	-57.563
5450	500.000	-60.639
5451	500.000	-54.854
5452	500.000	-59.245
5453	500.000	-54.326
5454	500.000	-59.854
5455	500.000	-60.748
5456	500.000	-55.759
5457	500.000	-58.110
5458	500.000	-53.560
5459	500.000	-53.245
5460	500.000	-54.155
5461	500.000	-55.279
5462	500.000	-56.037
5463	500.000	-54.561
5464	500.000	-56.240
5465	500.000	-56.942
5466	500.000	-55.850
5467	500.000	-56.915
5468	500.000	-56.134
5469	500.000	-60.329
5470	500.000	-57.795
5471	500.000	-59.732
5472	500.000	-62.480
5473	500.000	-51.785
5474	500.000	-52.192
5475	500.000	-51.822
5476	500.000	-54.990
5477	500.000	-57.440
5478	500.000	-54.183
5479	500.000	-57.250
5480	500.000	-55.377
5481	500.000	-57.685
5482	500.000	-56.553
5483	500.000	-57.399
5484	500.000	-56.509
5485	500.000	-59.128
5486	500.000	-57.612
5487	500.000	-61.267
5488	500.000	-62.146
5489	500.000	-61.914
5490	500.000	-57.442
5491	500.000	-52.864
5492	500.000	-58.284
5493	500.000	-60.839
5494	500.000	-59.212
5495	500.000	-62.580
5496	500.000	-55.589
5497	500.000	-57.014
5498	500.000	-57.234
5499	500.000	-50.705
5500	500.000	-56.388
