# NEST version: 3.5
# RecordingBackendASCII version: 2
sender	time_ms	V_m
7423	500.000	-62.789
7424	500.000	-58.659
7425	500.000	-53.800
7426	500.000	-52.746
7427	500.000	-57.490
7428	500.000	-60.132
7429	500.000	-52.613
7430	500.000	-58.940
7431	500.000	-55.397
7432	500.000	-58.737
7433	500.000	-51.314
7434	500.000	-59.830
7435	500.000	-60.866
7436	500.000	-51.562
7437	500.000	-56.717
7438	500.000	-53.759
7439	500.000	-57.131
7440	500.000	-56.899
7441	500.000	-56.293
7442	500.000	-62.393
7443	500.000	-59.565
7444	500.000	-53.030
7445	500.000	-59.260
7446	500.000	-57.261
7447	500.000	-65.000
7448	500.000	-59.481
7449	500.000	-57.848
7450	500.000	-56.362
7451	500.000	-54.777
7452	500.000	-56.022
7453	500.000	-59.774
7454	500.000	-56.364
7455	500.000	-55.164
7456	500.000	-52.351
7457	500.000	-56.341
7458	500.000	-56.857
7459	500.000	-59.907
7460	500.000	-57.813
7461	500.000	-52.632
7462	500.000	-55.749
7463	500.000	-54.473
7464	500.000	-60.774
7465	500.000	-59.915
7466	500.000	-51.698
7467	500.000	-54.690
7468	500.000	-55.240
7469	500.000	-58.009
7470	500.000	-55.033
7471	500.000	-55.532
7472	500.000	-53.781
7473	500.000	-66.548
7474	500.000	-55.946
7475	500.000	-52.845
7476	500.000	-56.366
7477	500.000	-53.535
7478	500.000	-56.943
7479	500.000	-55.537
7480	500.000	-55.524
7481	500.000	-58.280
7482	500.000	-52.222
7483	500.000	-53.598
7484	500.000	-57.239
7485	500.000	-57.254
7486	500.000	-55.823
7487	500.000	-58.521
7488	500.000	-58.692
7489	500.000	-52.402
7490	500.000	-55.976
7491	500.000	-52.983
7492	500.000	-54.802
7493	500.000	-53.384
7494	500.000	-55.414
7495	500.000	-60.471
7496	500.000	-57.171
7497	500.000	-55.619
7498	500.000	-52.460
7499	500.000	-52.959
7500	500.000	-63.447
7501	500.000	-54.332
7502	500.000	-59.616
7503	500.000	-55.981
7504	500.000	-55.416
7505	500.000	-56.857
7506	500.000	-58.960
7507	500.000	-53.045
7508	500.000	-57.490
7509	500.000	-57.702
7510	500.000	-57.748
7511	500.000	-53.976
7512	500.000	-58.097
7513	500.000	-57.335
7514	500.000	-60.954
7515	500.000	-56.846
7516	500.000	-51.879
7517	500.000	-54.476
7518	500.000	-52.519
7519	500.000	-58.811
7520	500.000	-53.039
7521	500.000	-58.494
