cellid,time,type,Layer
4669,588.2,inh,0
4319,588.7,inh,0
5009,589.2,inh,0
4529,594.0,inh,0
5219,594.1,inh,0
4509,598.4,inh,0
4689,598.5,inh,0
5139,598.5,inh,0
4569,598.6,inh,0
5279,598.7,inh,0
4159,598.8,inh,0
4709,598.9,inh,0
4219,599.0,inh,0
4639,599.2,inh,0
4279,599.3,inh,0
4199,599.5,inh,0
5029,599.5,inh,0
4169,599.7,inh,0
4469,599.7,inh,0
4579,599.7,inh,0
4379,599.8,inh,0
4819,601.5,inh,0
5289,609.2,inh,0
5259,612.0,inh,0
5269,612.5,inh,0
4529,613.1,inh,0
4689,613.3,inh,0
4799,613.5,inh,0
4679,613.8,inh,0
4189,615.3,inh,0
4319,622.7,inh,0
4249,623.3,inh,0
4569,624.0,inh,0
4579,624.8,inh,0
4949,624.8,inh,0
4659,625.0,inh,0
4779,625.3,inh,0
4709,626.6,inh,0
5209,626.6,inh,0
5259,626.7,inh,0
4819,628.1,inh,0
4279,628.5,inh,0
4529,628.6,inh,0
4689,628.9,inh,0
4909,631.4,inh,0
4789,632.3,inh,0
4269,635.1,inh,0
4309,636.3,inh,0
5219,636.6,inh,0
4159,637.8,inh,0
4699,637.8,inh,0
4169,645.9,inh,0
5279,646.3,inh,0
4299,647.5,inh,0
4869,648.4,inh,0
4939,648.6,inh,0
4649,648.8,inh,0
5149,649.2,inh,0
4439,649.5,inh,0
4909,649.5,inh,0
4159,649.8,inh,0
4919,649.8,inh,0
4379,649.9,inh,0
4479,650.5,inh,0
5239,651.1,inh,0
5299,651.2,inh,0
5269,651.3,inh,0
5029,651.5,inh,0
4719,651.8,inh,0
4799,652.0,inh,0
4579,652.1,inh,0
4569,658.8,inh,0
4279,659.3,inh,0
4679,662.0,inh,0
4799,662.7,inh,0
4909,663.3,inh,0
4819,663.8,inh,0
4349,663.9,inh,0
4459,664.3,inh,0
4249,664.9,inh,0
5269,669.8,inh,0
4499,670.5,inh,0
4839,671.0,inh,0
5259,671.0,inh,0
4169,672.3,inh,0
4439,672.8,inh,0
4319,673.6,inh,0
4509,673.7,inh,0
5029,674.1,inh,0
5009,674.2,inh,0
5289,674.2,inh,0
4579,674.3,inh,0
4529,677.6,inh,0
4649,680.0,inh,0
5219,681.2,inh,0
5029,683.2,inh,0
4979,683.3,inh,0
4179,683.4,inh,0
4819,683.5,inh,0
4279,683.6,inh,0
4909,683.6,inh,0
4479,683.8,inh,0
4689,683.8,inh,0
5169,684.0,inh,0
4569,684.2,inh,0
4939,684.4,inh,0
4159,684.8,inh,0
4679,685.1,inh,0
4579,686.0,inh,0
4659,686.3,inh,0
4589,686.4,inh,0
4789,686.4,inh,0
4519,694.0,inh,0
4309,696.1,inh,0
4159,696.2,inh,0
4899,696.7,inh,0
5029,697.1,inh,0
4669,697.4,inh,0
4169,698.0,inh,0
4249,698.1,inh,0
4649,698.1,inh,0
5279,699.6,inh,0
