# NEST version: 3.5
# RecordingBackendASCII version: 2
sender	time_ms
15145	0.100
15526	0.100
15307	711.600
15878	711.900
15730	712.100
15679	712.200
15708	712.300
14770	712.400
15373	712.400
16059	712.400
14638	712.500
14837	712.500
15066	712.500
15314	712.500
15661	712.500
15696	712.500
15880	712.500
15151	712.600
15303	712.600
15414	712.600
15548	712.600
15562	712.600
15601	712.600
15615	712.600
16043	712.600
14632	712.700
14658	712.700
14688	712.700
14707	712.700
14830	712.700
14913	712.700
14940	712.700
14951	712.700
15097	712.700
15112	712.700
15170	712.700
15200	712.700
15387	712.700
15464	712.700
15516	712.700
15573	712.700
15639	712.700
15707	712.700
15715	712.700
15799	712.700
15827	712.700
15876	712.700
15890	712.700
14631	712.800
14715	712.800
14741	712.800
14760	712.800
14805	712.800
15063	712.800
15144	712.800
15214	712.800
15228	712.800
15383	712.800
15435	712.800
15487	712.800
15520	712.800
15559	712.800
15585	712.800
15667	712.800
15675	712.800
15712	712.800
15727	712.800
15778	712.800
15785	712.800
15788	712.800
15965	712.800
15967	712.800
16019	712.800
14723	712.900
14757	712.900
14799	712.900
14816	712.900
14852	712.900
14863	712.900
14992	712.900
15018	712.900
15029	712.900
15054	712.900
15068	712.900
15135	712.900
15138	712.900
15192	712.900
15209	712.900
15213	712.900
15238	712.900
15252	712.900
15262	712.900
15266	712.900
15291	712.900
15304	712.900
15316	712.900
15343	712.900
15525	712.900
15583	712.900
15607	712.900
15649	712.900
15697	712.900
15705	712.900
15769	712.900
15797	712.900
15963	712.900
15974	712.900
15984	712.900
16002	712.900
16030	712.900
14663	713.000
14691	713.000
14726	713.000
14745	713.000
14800	713.000
14802	713.000
14822	713.000
14835	713.000
14836	713.000
14861	713.000
14862	713.000
14868	713.000
14906	713.000
14962	713.000
15032	713.000
15035	713.000
15108	713.000
15134	713.000
15195	713.000
15212	713.000
15225	713.000
15260	713.000
15268	713.000
15282	713.000
15333	713.000
15381	713.000
15437	713.000
15454	713.000
15492	713.000
15514	713.000
15517	713.000
15561	713.000
15630	713.000
15641	713.000
15787	713.000
15809	713.000
15824	713.000
15846	713.000
15865	713.000
15927	713.000
15942	713.000
15986	713.000
15993	713.000
16027	713.000
16042	713.000
14627	713.100
14648	713.100
14659	713.100
14687	713.100
14701	713.100
14718	713.100
14736	713.100
14762	713.100
14774	713.100
14775	713.100
14778	713.100
14815	713.100
14880	713.100
14923	713.100
14927	713.100
14943	713.100
14949	713.100
14959	713.100
14961	713.100
15036	713.100
15039	713.100
15083	713.100
15100	713.100
15109	713.100
15167	713.100
15183	713.100
15254	713.100
15276	713.100
15281	713.100
15287	713.100
15300	713.100
15317	713.100
15335	713.100
15419	713.100
15420	713.100
15425	713.100
15428	713.100
15431	713.100
15436	713.100
15449	713.100
15469	713.100
15483	713.100
15563	713.100
15580	713.100
15582	713.100
15608	713.100
15611	713.100
15628	713.100
15644	713.100
15647	713.100
15672	713.100
15674	713.100
15694	713.100
15698	713.100
15700	713.100
15719	713.100
15721	713.100
15732	713.100
15733	713.100
15742	713.100
15745	713.100
15764	713.100
15810	713.100
15818	713.100
15832	713.100
15843	713.100
15855	713.100
15859	713.100
15881	713.100
15884	713.100
15894	713.100
15905	713.100
15907	713.100
15914	713.100
15935	713.100
15939	713.100
15976	713.100
16032	713.100
14635	713.200
14643	713.200
14669	713.200
14673	713.200
14692	713.200
14731	713.200
14772	713.200
14785	713.200
14788	713.200
14789	713.200
14801	713.200
14828	713.200
14839	713.200
14842	713.200
14890	713.200
14894	713.200
14897	713.200
14900	713.200
14918	713.200
14920	713.200
14933	713.200
14939	713.200
14996	713.200
14997	713.200
15006	713.200
15037	713.200
15064	713.200
15074	713.200
15085	713.200
15110	713.200
15120	713.200
15125	713.200
15136	713.200
15137	713.200
15155	713.200
15201	713.200
15208	713.200
15224	713.200
15237	713.200
