# NEST version: 3.5
# RecordingBackendASCII version: 2
sender	time_ms
9927	710.700
9525	710.800
8753	710.900
8821	710.900
8954	710.900
9274	710.900
9317	710.900
10186	710.900
10461	710.900
8670	711.000
8739	711.000
8789	711.000
8925	711.000
9219	711.000
9357	711.000
9647	711.000
9948	711.000
10702	711.000
8683	711.100
8771	711.100
8988	711.100
9079	711.100
9278	711.100
9440	711.100
9642	711.100
9691	711.100
9913	711.100
10294	711.100
10323	711.100
10566	711.100
10611	711.100
8901	711.200
9243	711.200
9258	711.200
9658	711.200
10006	711.200
10073	711.200
8671	711.300
8711	711.300
8833	711.300
9147	711.300
9150	711.300
9283	711.300
9333	711.300
9348	711.300
9619	711.300
10271	711.300
10337	711.300
10372	711.300
10556	711.300
8657	711.400
8736	711.400
8837	711.400
8920	711.400
9047	711.400
9505	711.400
9573	711.400
9604	711.400
9977	711.400
10048	711.400
10063	711.400
10176	711.400
10333	711.400
10554	711.400
10595	711.400
10610	711.400
8803	711.500
8859	711.500
8994	711.500
9052	711.500
9254	711.500
9607	711.500
9728	711.500
10130	711.500
10160	711.500
10166	711.500
10565	711.500
10573	711.500
10581	711.500
10656	711.500
10707	711.500
8810	711.600
9240	711.600
9457	711.600
9460	711.600
9714	711.600
9843	711.600
9941	711.600
9944	711.600
10028	711.600
10338	711.600
10429	711.600
10462	711.600
10473	711.600
10691	711.600
8706	711.700
8818	711.700
9229	711.700
9293	711.700
9461	711.700
9486	711.700
9571	711.700
9671	711.700
9771	711.700
9841	711.700
9870	711.700
9962	711.700
10001	711.700
10015	711.700
10123	711.700
10134	711.700
10234	711.700
10248	711.700
10377	711.700
10484	711.700
10490	711.700
10517	711.700
10560	711.700
10561	711.700
10589	711.700
8734	711.800
8751	711.800
8759	711.800
8916	711.800
8982	711.800
9003	711.800
9135	711.800
9245	711.800
9282	711.800
9301	711.800
9310	711.800
9390	711.800
9398	711.800
9405	711.800
9426	711.800
9450	711.800
9543	711.800
9759	711.800
9993	711.800
10010	711.800
10020	711.800
10066	711.800
10118	711.800
10168	711.800
10173	711.800
10180	711.800
10285	711.800
10296	711.800
10301	711.800
10388	711.800
10427	711.800
10526	711.800
10562	711.800
10650	711.800
8712	711.900
8728	711.900
8729	711.900
8731	711.900
8735	711.900
8740	711.900
8767	711.900
8793	711.900
8800	711.900
8874	711.900
9067	711.900
9073	711.900
9074	711.900
9078	711.900
9089	711.900
9140	711.900
9220	711.900
9265	711.900
9273	711.900
9407	711.900
9447	711.900
9491	711.900
9524	711.900
9570	711.900
9614	711.900
9657	711.900
9823	711.900
9865	711.900
9876	711.900
9880	711.900
9971	711.900
9987	711.900
10082	711.900
10156	711.900
10208	711.900
10266	711.900
10345	711.900
10369	711.900
10531	711.900
10542	711.900
10647	711.900
8689	712.000
8722	712.000
8741	712.000
8760	712.000
8863	712.000
8873	712.000
8964	712.000
9033	712.000
9139	712.000
9170	712.000
9203	712.000
9206	712.000
9230	712.000
9312	712.000
9380	712.000
9406	712.000
9480	712.000
9503	712.000
9535	712.000
9542	712.000
9705	712.000
9719	712.000
9777	712.000
9802	712.000
9825	712.000
9840	712.000
9898	712.000
9910	712.000
9919	712.000
9942	712.000
10070	712.000
10171	712.000
10193	712.000
10196	712.000
10201	712.000
10210	712.000
10253	712.000
10273	712.000
10339	712.000
10362	712.000
10384	712.000
10450	712.000
10460	712.000
10557	712.000
10587	712.000
10701	712.000
8724	712.100
8817	712.100
8851	712.100
8883	712.100
8910	712.100
8958	712.100
8959	712.100
8983	712.100
9083	712.100
9095	712.100
9167	712.100
9186	712.100
9196	712.100
9198	712.100
9237	712.100
9374	712.100
9409	712.100
9410	712.100
9462	712.100
9476	712.100
9477	712.100
9529	712.100
9555	712.100
9572	712.100
9646	712.100
9651	712.100
9652	712.100
9729	712.100
9733	712.100
9736	712.100
9758	712.100
9778	712.100
9794	712.100
9827	712.100
9857	712.100
9858	712.100
9912	712.100
9966	712.100
9991	712.100
10050	712.100
10065	712.100
10074	712.100
10094	712.100
10098	712.100
10103	712.100
10127	712.100
10145	712.100
10161	712.100
10189	712.100
10205	712.100
10274	712.100
10276	712.100
10366	712.100
10371	712.100
10406	712.100
10468	712.100
10488	712.100
10530	712.100
10572	712.100
10599	712.100
10600	712.100
10634	712.100
10640	712.100
8737	712.200
8776	712.200
8778	712.200
8860	712.200
8972	712.200
9006	712.200
9044	712.200
9054	712.200
9058	712.200
