# NEST version: 3.5
# RecordingBackendASCII version: 2
sender	time_ms
16206	0.100
16255	0.100
16083	713.700
16093	713.700
16215	713.700
16261	713.700
16263	713.700
16290	713.700
16354	713.700
16079	713.800
16090	713.800
16095	713.800
16107	713.800
16116	713.800
16141	713.800
16144	713.800
16145	713.800
16167	713.800
16194	713.800
16197	713.800
16211	713.800
16235	713.800
16279	713.800
16288	713.800
16315	713.800
16081	713.900
16084	713.900
16096	713.900
16104	713.900
16109	713.900
16121	713.900
16122	713.900
16125	713.900
16132	713.900
16157	713.900
16160	713.900
16164	713.900
16168	713.900
16169	713.900
16174	713.900
16176	713.900
16186	713.900
16190	713.900
16193	713.900
16196	713.900
16199	713.900
16201	713.900
16202	713.900
16205	713.900
16218	713.900
16221	713.900
16223	713.900
16225	713.900
16239	713.900
16246	713.900
16247	713.900
16249	713.900
16257	713.900
16266	713.900
16267	713.900
16269	713.900
16277	713.900
16287	713.900
16301	713.900
16304	713.900
16307	713.900
16314	713.900
16317	713.900
16321	713.900
16322	713.900
16343	713.900
16353	713.900
16068	714.000
16072	714.000
16074	714.000
16085	714.000
16099	714.000
16100	714.000
16103	714.000
16106	714.000
16108	714.000
16110	714.000
16111	714.000
16115	714.000
16117	714.000
16118	714.000
16127	714.000
16129	714.000
16133	714.000
16137	714.000
16140	714.000
16146	714.000
16151	714.000
16152	714.000
16154	714.000
16158	714.000
16165	714.000
16171	714.000
16172	714.000
16178	714.000
16180	714.000
16192	714.000
16200	714.000
16203	714.000
16207	714.000
16212	714.000
16220	714.000
16230	714.000
16231	714.000
16232	714.000
16245	714.000
16248	714.000
16250	714.000
16251	714.000
16252	714.000
16253	714.000
16255	714.000
16260	714.000
16264	714.000
16270	714.000
16273	714.000
16275	714.000
16285	714.000
16286	714.000
16289	714.000
16294	714.000
16300	714.000
16312	714.000
16318	714.000
16323	714.000
16325	714.000
16337	714.000
16338	714.000
16339	714.000
16340	714.000
16346	714.000
16347	714.000
16349	714.000
16350	714.000
16358	714.000
16359	714.000
16069	714.100
16073	714.100
16075	714.100
16076	714.100
16078	714.100
16089	714.100
16092	714.100
16097	714.100
16098	714.100
16101	714.100
16112	714.100
16113	714.100
16114	714.100
16124	714.100
16130	714.100
16136	714.100
16142	714.100
16143	714.100
16148	714.100
16155	714.100
16162	714.100
16166	714.100
16182	714.100
16185	714.100
16187	714.100
16195	714.100
16198	714.100
16216	714.100
16227	714.100
16233	714.100
16236	714.100
16240	714.100
16241	714.100
16244	714.100
16256	714.100
16259	714.100
16262	714.100
16265	714.100
16271	714.100
16272	714.100
16274	714.100
16280	714.100
16281	714.100
16283	714.100
16292	714.100
16295	714.100
16297	714.100
16302	714.100
16303	714.100
16305	714.100
16306	714.100
16310	714.100
16311	714.100
16316	714.100
16324	714.100
16326	714.100
16328	714.100
16329	714.100
16332	714.100
16334	714.100
16335	714.100
16351	714.100
16352	714.100
16355	714.100
16357	714.100
16360	714.100
16361	714.100
16067	714.200
16077	714.200
16080	714.200
16086	714.200
16087	714.200
16088	714.200
16091	714.200
16105	714.200
16120	714.200
16126	714.200
16128	714.200
16134	714.200
16135	714.200
16139	714.200
16149	714.200
16153	714.200
16161	714.200
16163	714.200
16173	714.200
16175	714.200
16181	714.200
16189	714.200
16210	714.200
16217	714.200
16222	714.200
16228	714.200
16229	714.200
16237	714.200
16243	714.200
16258	714.200
16268	714.200
16278	714.200
16296	714.200
16299	714.200
16308	714.200
16313	714.200
16319	714.200
16327	714.200
16331	714.200
16342	714.200
16344	714.200
16345	714.200
16348	714.200
16102	714.300
16119	714.300
16123	714.300
16131	714.300
16138	714.300
