# NEST version: 3.5
# RecordingBackendASCII version: 2
sender	time_ms
5878	711.700
5881	711.800
5948	711.800
5951	711.900
5909	712.000
5974	712.000
5896	712.100
5915	712.100
5916	712.100
5906	712.200
5927	712.200
5930	712.200
5976	712.200
5885	712.300
5891	712.300
5902	712.300
5905	712.300
5956	712.300
5889	712.400
5894	712.400
5901	712.400
5920	712.400
5924	712.400
5926	712.400
5933	712.400
5943	712.400
5968	712.400
5971	712.400
5879	712.500
5882	712.500
5883	712.500
5898	712.500
5917	712.500
5928	712.500
5935	712.500
5954	712.500
5966	712.500
5967	712.500
5969	712.500
5970	712.500
5912	712.600
5913	712.600
5925	712.600
5946	712.600
5952	712.600
5977	712.600
5903	712.700
5921	712.700
5931	712.700
5972	712.700
5892	712.800
5895	712.800
5914	712.900
5937	712.900
5975	712.900
5934	713.000
5965	713.000
5962	713.100
5979	713.100
5981	713.100
5953	715.100
5877	715.700
5943	715.700
5901	715.900
5948	716.400
5974	742.000
5906	742.400
5954	742.700
5948	742.800
5885	743.000
5943	743.000
5976	743.000
5901	743.100
5920	743.100
5924	743.100
5930	743.200
5887	743.300
5916	743.300
5968	743.300
5903	743.400
5927	743.400
5928	743.500
5967	743.500
5925	743.600
5935	743.600
5969	743.600
5926	743.700
5891	743.900
5945	744.200
5977	745.700
5916	758.900
5956	758.900
5881	759.000
5914	759.000
5948	759.000
5886	759.100
5974	759.100
5890	759.200
5968	759.300
5878	759.400
5924	759.400
5930	759.500
5934	759.500
5922	759.600
5954	759.600
5903	759.700
5969	759.700
5976	759.700
5909	759.800
5917	759.800
5943	759.800
5951	759.800
5975	759.800
5889	759.900
5906	759.900
5928	760.000
5939	760.200
5941	760.200
5911	760.400
5977	760.400
5953	761.400
5877	761.800
5901	761.800
5967	762.200
5929	762.500
5933	762.500
5901	778.900
5915	779.000
5954	779.000
5974	779.000
5883	779.300
5898	779.300
5906	779.300
5945	779.300
5976	779.300
5879	779.400
5902	779.400
5930	779.400
5943	779.400
5968	779.400
5890	779.500
5948	779.500
5881	779.600
5922	779.600
5935	779.600
5953	779.600
5896	779.700
5905	779.700
5909	779.700
5916	779.700
5920	779.700
5929	779.700
5931	779.700
5962	779.700
5965	779.700
5975	779.700
5887	779.800
5958	779.800
5967	779.800
5969	779.800
5970	779.800
5978	779.800
5889	779.900
5924	779.900
5891	780.000
5927	780.000
5950	780.000
5878	780.100
5896	801.800
5974	801.800
5887	802.100
5916	802.100
5948	802.100
5976	802.100
5890	802.200
5904	802.200
5943	802.200
5901	802.300
5902	802.300
5970	802.300
5905	802.400
5906	802.400
5909	802.400
5967	802.400
5968	802.400
5883	802.500
5931	802.500
5956	802.500
5958	802.500
5878	802.600
5924	802.600
5962	802.600
5971	802.600
5885	802.700
5889	802.700
5928	802.700
5930	802.700
5935	802.700
5925	803.000
5934	803.000
5881	803.100
5954	803.100
