# NEST version: 3.5
# RecordingBackendASCII version: 2
sender	time_ms	V_m
7423	1.000	-61.731
7424	1.000	-65.953
7425	1.000	-60.989
7426	1.000	-62.651
7427	1.000	-66.560
7428	1.000	-61.279
7429	1.000	-70.745
7430	1.000	-56.420
7431	1.000	-64.065
7432	1.000	-61.513
7433	1.000	-59.863
7434	1.000	-55.909
7435	1.000	-61.179
7436	1.000	-64.121
7437	1.000	-66.156
7438	1.000	-60.062
7439	1.000	-56.523
7440	1.000	-60.024
7441	1.000	-55.870
7442	1.000	-65.000
7443	1.000	-61.670
7444	1.000	-61.403
7445	1.000	-65.663
7446	1.000	-61.017
7447	1.000	-64.075
7448	1.000	-64.749
7449	1.000	-64.021
7450	1.000	-63.987
7451	1.000	-63.218
7452	1.000	-70.009
7453	1.000	-61.929
7454	1.000	-58.002
7455	1.000	-59.743
7456	1.000	-66.549
7457	1.000	-64.750
7458	1.000	-64.426
7459	1.000	-70.013
7460	1.000	-62.616
7461	1.000	-62.527
7462	1.000	-63.704
7463	1.000	-65.797
7464	1.000	-58.862
7465	1.000	-63.368
7466	1.000	-64.068
7467	1.000	-64.098
7468	1.000	-63.750
7469	1.000	-62.884
7470	1.000	-62.135
7471	1.000	-53.737
7472	1.000	-64.885
7473	1.000	-62.574
7474	1.000	-65.869
7475	1.000	-61.268
7476	1.000	-66.266
7477	1.000	-63.481
7478	1.000	-60.408
7479	1.000	-63.239
7480	1.000	-63.194
7481	1.000	-66.523
7482	1.000	-58.113
7483	1.000	-58.324
7484	1.000	-63.137
7485	1.000	-59.755
7486	1.000	-64.340
7487	1.000	-62.383
7488	1.000	-65.966
7489	1.000	-66.639
7490	1.000	-68.400
7491	1.000	-65.439
7492	1.000	-62.158
7493	1.000	-67.624
7494	1.000	-58.284
7495	1.000	-58.593
7496	1.000	-68.222
7497	1.000	-61.125
7498	1.000	-65.546
7499	1.000	-65.993
7500	1.000	-66.323
7501	1.000	-68.511
7502	1.000	-61.537
7503	1.000	-58.076
7504	1.000	-57.364
7505	1.000	-64.239
7506	1.000	-65.959
7507	1.000	-61.086
7508	1.000	-59.267
7509	1.000	-59.055
7510	1.000	-53.616
7511	1.000	-60.746
7512	1.000	-61.766
7513	1.000	-56.845
7514	1.000	-65.636
7515	1.000	-66.571
7516	1.000	-66.901
7517	1.000	-60.518
7518	1.000	-70.436
7519	1.000	-63.128
7520	1.000	-65.877
7521	1.000	-60.246
7522	1.000	-66.053
7523	1.000	-63.692
7524	1.000	-60.193
7525	1.000	-63.450
7526	1.000	-65.000
7527	1.000	-70.941
7528	1.000	-62.961
7529	1.000	-58.404
7530	1.000	-64.193
7531	1.000	-57.727
7532	1.000	-55.377
7533	1.000	-71.964
7534	1.000	-61.689
7535	1.000	-67.464
7536	1.000	-67.814
7537	1.000	-67.762
7538	1.000	-67.345
7539	1.000	-58.423
7540	1.000	-62.212
7541	1.000	-65.709
7542	1.000	-59.634
7543	1.000	-63.785
7544	1.000	-57.687
7545	1.000	-60.380
7546	1.000	-62.764
7547	1.000	-64.257
7548	1.000	-62.429
7549	1.000	-69.621
7550	1.000	-61.346
7551	1.000	-65.106
7552	1.000	-62.429
7553	1.000	-64.314
7554	1.000	-55.203
7555	1.000	-66.433
7556	1.000	-61.287
7557	1.000	-62.055
7558	1.000	-68.787
7559	1.000	-65.374
7560	1.000	-66.814
7561	1.000	-58.637
7562	1.000	-69.289
7563	1.000	-68.097
